SUID,shared name,name,selected,Name,GS_DESCR,GS_Type,Genes,gs_size,pvalue,fdr_qvalue,fwer_qvalue,ES,NES,Colouring
6659,GO:0009055,GO:0009055,FALSE,GO:0009055,electron transfer activity,ENR,CNG02173|CNG02210|CNG03480|CNH02030|CNH02730|CNH02740|CNA03110|CNI00360|CNI03270|CNK02100|CNK03240|CNL04890|CNL05510|CNF01340|CNM00720|CNM01810|CNM02270|CNN01330|CNC04490|CND05840|CNE01560|CNA01370|CND05770|CNA03530|CNA04420|CNA05000|CNA06950|CNB01310|CNB03380|CNB03500|CNB03640|CNB04460|CNB04720|CNB05410|CNC02900|CNC02910|CNC02920|CNC04560|CNC04660|CNC05480|CNC05590|CNC05970|CNC07090|CND04070|CNH01030|CND05570|CND01340|CNE02310|CNE02800|CNE03960|CNF00630|CNF01980|CNF03360|CNF03560|CNI01690|CNG00160,56,0,0.0094,0.0332,0.9091,1.579,1
6660,GO:0022904,GO:0022904,FALSE,GO:0022904,respiratory electron transport chain,ENR,CNG00860|CNC02690|CNG02210|CNG03480|CNH02730|CNH02740|CNI00360|CNA03530|CNA04420|CNI03270|CNA04680|CNA05000|CNA06950|CNB01750|CNK03240|CNA07460|CNL04280|CNB00800|CNL04470|CNB01310|CNL04890|CNL05510|CNB03500|CNL05770|CNB03640|CNM00720|CNC02900|CNM01400|CNC02910|CNC04560|CNM02270|CNC05480|CNN01330|CNC07090|CND04070|CND04430|CNK01540|CNE02310|CNF00630|CNF03560,40,2e-04,0.0881,0.5732,0.9039,1.5392,0.9998
6661,GO:0022900,GO:0022900,FALSE,GO:0022900,electron transport chain,ENR,CNG00860|CNG02173|CNC02690|CNG02210|CNG03480|CNH02030|CNH02730|CNH02740|CNI00360|CNI02590|CNI03270|CNK02100|CNB01750|CNK03240|CNL04280|CNL04470|CNL04890|CNL05510|CNL05770|CNM00240|CNM00720|CNM01400|CNM01810|CNM02270|CNN01330|CNK01540|CNA01370|CND05770|CNA03530|CNA04420|CNA04680|CNA05000|CNA06950|CNA07460|CNB00800|CNB01310|CNB03380|CNB03500|CNB03640|CNB04460|CNB04720|CNB05410|CNC02900|CNC02910|CNC02920|CNC04560|CNC04660|CNC05480|CNC05590|CNC07090|CND04070|CND04430|CND05570|CND01340|CNE02310|CNE03960|CNF00630|CNF01980|CNF03560|CNG00160,60,0,0.0274,0.1236,0.9074,1.5639,1
6662,GO:0003682,GO:0003682,FALSE,GO:0003682,chromatin binding,ENR,CNE01490|CNM01820|CNL04080|CNI04020|CNA07890|CNC05330|CNI03050|CNI01190|CNG01820|CNJ00880|CNN01345|CND04550|CND05070|CNA00540|CND05720|CNB04370|CNA05290|CNB00570|CNG03040|CNB05320|CNC01110|CNB02640|CNE04440|CNJ02540|CNA00400|CNA01820|CNA06400|CNC00780|CNC00180|CNE01220|CNF04130|CND01530|CNE01590|CNC01390|CNE02030|CNG00510|CND04850|CNJ00970|CNC02310|CNA03310|CNI02950|CNJ02920|CNK01320|CNF04720|CNK02410|CNL06800|CNE03080|CNM00780|CNH02010|CNI02510|CNB04200|CNA05430|CNH02510|CNL04500|CNE03440|CNH02980|CNA03390|CNH01090|CNG04180|CNK02230|CNL05275|CNC06330|CNI01440|CNB05360|CNB00050|CNF01550|CNM01210|CNB00390|CNK02970,69,0,0.1193,0.1292,-0.79,-2.0996,-1
6663,GO:0000122,GO:0000122,FALSE,GO:0000122,negative regulation of transcription by RNA polymerase II,ENR,CNE04500|CNE05010|CNE05140|CNF01160|CNF01740|CNF02900|CNH03370|CNJ00250|CNH00290|CNJ00280|CND05810|CNJ02920|CNK00090|CNK02070|CNI04110|CNK03060|CNK03070|CNM00930|CNF02840|CNA00400|CNA01820|CNB04890|CNA06710|CNB03080|CNB03300|CNC00780|CNC02990|CNC01750|CNC05810|CNC05900|CND01430|CND03250|CND03730|CND05440|CNE01280|CNE02030,36,0.0012,0.103,0.0581,-0.8712,-2.1358,-0.9988
6664,GO:0006119,GO:0006119,FALSE,GO:0006119,oxidative phosphorylation,ENR,CNG00860|CNG02210|CNH02730|CNH02740|CNA03530|CNI03270|CNA04680|CNA06950|CNK03240|CNA07460|CNL04280|CNB00800|CNL04470|CNB01310|CNL04890|CNL05510|CNB03500|CNL05770|CNC02900|CNM01400|CNC02910|CNC05480|CNN01330|CNC07090|CND03280|CND04070|CND04430|CNE02310|CNF00570|CNG02220|CNF00630|CNF03560,32,0.0019,0.153,0.8905,0.8949,1.5235,0.9981
6665,GO:0005746,GO:0005746,FALSE,GO:0005746,mitochondrial respirasome,ENR,CNG00860|CNG02210|CNG03480|CNH02740|CNA03110|CNA01370|CNA03530|CNI02590|CNI03270|CNE01150|CNK03240|CNL04280|CNB00800|CNL04470|CNB01310|CNL04890|CNL05510|CNB03500|CNF01340|CNF03510|CNC02900|CNM01400|CNM01810|CNC05480|CNN01330|CNH03630|CNC07090|CNH01030|CNJ00510|CND04430|CNA04340|CNA04520|CNE02310|CNE03960|CNF00630|CNF03360|CNF03560,37,2e-04,0.0833,0.5966,0.9063,1.5383,0.9998
6666,GO:0051540,GO:0051540,FALSE,GO:0051540,metal cluster binding,ENR,CNI03830|CNG01590|CNE03090|CNH01530|CNG03480|CNL06050|CNK01430|CNK00950|CNA04420|CND02620|CNB01310|CNE03980|CNL05770|CNB04720|CNM00720|CNG02260|CNC02920|CNM01770|CNL05500|CNC05590|CNJ02910|CNJ01730|CNF03970|CNA00720|CNC07090|CNA04710|CNC03310|CNK00580|CNB05220|CNA00660|CND04070|CND05570|CNB03700|CND05560|CNE01920|CNE04050|CNE02310|CNE02800|CNL04340|CNG01900|CNK00560|CNA02270|CNI03410|CNF04130|CNG00160,45,0,0.0074,0.0088,0.9315,1.5908,1
6667,GO:1990204,GO:1990204,FALSE,GO:1990204,oxidoreductase complex,ENR,CNG00860|CNG03480|CNH02740|CNA03110|CNI02590|CNB00990|CNI03270|CNL04280|CNL04470|CNL05510|CNC01070|CNM01400|CNM01810|CNA01100|CNH03630|CNJ00510|CND05840|CNL05600|CNA04610|CND02450|CNC02480|CNN00460|CNA03530|CNA04420|CNB01920|CNE01150|CNC05690|CNE03330|CNB00800|CNC05700|CNE02620|CNB01310|CNB01730|CNC02900|CNF03470|CNC04310|CNJ00080|CNC04320|CNC07090|CNF04450|CNM02420|CNH01030|CNM02430|CND04430|CNG00840|CNE02310|CNE03960|CNF00630|CNF03360|CNF03560|CNA03850,51,2e-04,0.0877,0.6531,0.8986,1.5359,0.9998
6668,GO:0098803,GO:0098803,FALSE,GO:0098803,respiratory chain complex,ENR,CNG00860|CNG02210|CNG03480|CNH02740|CNA03110|CNA01370|CNA03530|CNI02590|CNI03270|CNE01150|CNK03240|CNL04280|CNB00800|CNL04470|CNB01310|CNL04890|CNL05510|CNB03500|CNF01340|CNC02900|CNM01400|CNM01810|CNC05480|CNN01330|CNH03630|CNC07090|CNH01030|CNJ00510|CND04430|CNA04520|CNE02310|CNE03960|CNF00630|CNF03360|CNF03560,35,2e-04,0.057,0.3846,0.9063,1.5475,0.9998
6669,GO:0051539,GO:0051539,FALSE,GO:0051539,"4 iron, 4 sulfur cluster binding",ENR,CNG01590|CNE03090|CNH01530|CNG03480|CNK01430|CNK00950|CNA04420|CND02620|CNB01310|CNE03980|CNL05770|CNC02920|CNM01770|CNL05500|CNJ01730|CNF03970|CNA00720|CNA04710|CNK00580|CNB05220|CNA00660|CND04070|CNB03700|CNE01920|CNE02800|CNL04340|CNG01900|CNK00560|CNA02270|CNI03410|CNF04130,31,6e-04,0.043,0.2695,0.9302,1.5532,0.9994
6670,GO:0051536,GO:0051536,FALSE,GO:0051536,iron-sulfur cluster binding,ENR,CNI03830|CNG01590|CNE03090|CNH01530|CNG03480|CNL06050|CNK01430|CNK00950|CNA04420|CND02620|CNB01310|CNE03980|CNL05770|CNB04720|CNM00720|CNG02260|CNC02920|CNM01770|CNL05500|CNC05590|CNJ02910|CNJ01730|CNF03970|CNA00720|CNC07090|CNA04710|CNC03310|CNK00580|CNB05220|CNA00660|CND04070|CND05570|CNB03700|CND05560|CNE01920|CNE04050|CNE02310|CNE02800|CNL04340|CNG01900|CNK00560|CNA02270|CNI03410|CNF04130|CNG00160,45,0,0.0038,0.0092,0.9315,1.5902,1
6671,GO:0051537,GO:0051537,FALSE,GO:0051537,"2 iron, 2 sulfur cluster binding",ENR,CNI03830|CNC02920|CNC05590|CNG03480|CNL06050|CNF03970|CNC07090|CNA04710|CNC03310|CNB05220|CND05570|CNE04050|CNE02310|CNB04720|CNM00720|CNG00160|CNG02260,17,0.0028,0.1154,0.7862,0.9395,1.53,0.9972
6672,GO:0070469,GO:0070469,FALSE,GO:0070469,respirasome,ENR,CNG00860|CNG02173|CNG02210|CNG03480|CNH02740|CNA03110|CNA01370|CNA01500|CNA03530|CNI02590|CNA05180|CNI03270|CNA05580|CNE01150|CNA06950|CNK03240|CNL04280|CNB00800|CNL04470|CNB01310|CNL04890|CNL05510|CNB03500|CNF01340|CNF03510|CNC02900|CNM01400|CNM01810|CNC05480|CNN01330|CNH03630|CNC07090|CND04070|CNH01030|CNJ00510|CND04430|CNA04340|CNA04520|CNC04490|CNE02310|CNE03960|CNF00630|CNF03360|CNF03560|CNI01690,45,0,0.0396,0.2121,0.9079,1.5566,1
